kota,bahanpokok,tahun,bulan,stok
kab_banjarnegara,beras,2024,10,51000
kab_banjarnegara,jagung,2024,10,1010
kab_banjarnegara,kedelai,2024,10,8000
kab_banjarnegara,bawangmerah,2024,10,500
kab_banjarnegara,bawangputih,2024,10,500
kab_banjarnegara,cabaibesar,2024,10,NULL
kab_banjarnegara,cabairawit,2024,10,NULL
kab_banjarnegara,dagingsapi,2024,10,1480
kab_banjarnegara,dagingayamras,2024,10,1070
kab_banjarnegara,telur,2024,10,805.6140351
kab_banjarnegara,gulapasir,2024,10,5000
kab_banjarnegara,minyakgoreng,2024,10,2720
kab_banyumas,beras,2024,10,41351.48752
kab_banyumas,jagung,2024,10,3000
kab_banyumas,kedelai,2024,10,1250
kab_banyumas,bawangmerah,2024,10,2078.769231
kab_banyumas,bawangputih,2024,10,5400.694141
kab_banyumas,cabaibesar,2024,10,1352.4
kab_banyumas,cabairawit,2024,10,1835.625
kab_banyumas,dagingsapi,2024,10,141.7142857
kab_banyumas,dagingayamras,2024,10,49703.16294
kab_banyumas,telur,2024,10,14989.72292
kab_banyumas,gulapasir,2024,10,18224.00343
kab_banyumas,minyakgoreng,2024,10,1595.514912
kab_batang,beras,2024,10,10726.19048
kab_batang,jagung,2024,10,2844.034091
kab_batang,kedelai,2024,10,40514.58946
kab_batang,bawangmerah,2024,10,162
kab_batang,bawangputih,2024,10,708.96
kab_batang,cabaibesar,2024,10,110.8333333
kab_batang,cabairawit,2024,10,195
kab_batang,dagingsapi,2024,10,79.10828025
kab_batang,dagingayamras,2024,10,110.5882353
kab_batang,telur,2024,10,2692.961039
kab_batang,gulapasir,2024,10,1397.647059
kab_batang,minyakgoreng,2024,10,9516.048035
kab_blora,beras,2024,10,1116965.97
kab_blora,jagung,2024,10,3742378.843
kab_blora,kedelai,2024,10,13777.17739
kab_blora,bawangmerah,2024,10,8.032
kab_blora,bawangputih,2024,10,0
kab_blora,cabaibesar,2024,10,93.67521368
kab_blora,cabairawit,2024,10,0
kab_blora,dagingsapi,2024,10,16598.24192
kab_blora,dagingayamras,2024,10,0
kab_blora,telur,2024,10,19728.91128
kab_blora,gulapasir,2024,10,15576.90548
kab_blora,minyakgoreng,2024,10,107088.6836
kab_boyolali,beras,2024,10,36361.11111
kab_boyolali,jagung,2024,10,15000
kab_boyolali,kedelai,2024,10,10697.36424
kab_boyolali,bawangmerah,2024,10,895.4427083
kab_boyolali,bawangputih,2024,10,260
kab_boyolali,cabaibesar,2024,10,586.0240964
kab_boyolali,cabairawit,2024,10,3130.418103
kab_boyolali,dagingsapi,2024,10,2867.8125
kab_boyolali,dagingayamras,2024,10,351862.6842
kab_boyolali,telur,2024,10,4391.341085
kab_boyolali,gulapasir,2024,10,791.5409236
kab_boyolali,minyakgoreng,2024,10,6527.799272
kab_brebes,beras,2024,10,47749.61538
kab_brebes,jagung,2024,10,60607.41497
kab_brebes,kedelai,2024,10,4600
kab_brebes,bawangmerah,2024,10,51987.62003
kab_brebes,bawangputih,2024,10,1498.958333
kab_brebes,cabaibesar,2024,10,713.7666667
kab_brebes,cabairawit,2024,10,587.2777778
kab_brebes,dagingsapi,2024,10,546.8918919
kab_brebes,dagingayamras,2024,10,2556
kab_brebes,telur,2024,10,2532.222222
kab_brebes,gulapasir,2024,10,705
kab_brebes,minyakgoreng,2024,10,1475.86
kab_cilacap,beras,2024,10,505485.5954
kab_cilacap,jagung,2024,10,0
kab_cilacap,kedelai,2024,10,10140.25362
kab_cilacap,bawangmerah,2024,10,851.3047059
kab_cilacap,bawangputih,2024,10,10354.80921
kab_cilacap,cabaibesar,2024,10,148.5166667
kab_cilacap,cabairawit,2024,10,148.6184211
kab_cilacap,dagingsapi,2024,10,535
kab_cilacap,dagingayamras,2024,10,970
kab_cilacap,telur,2024,10,607.3846154
kab_cilacap,gulapasir,2024,10,2637.304348
kab_cilacap,minyakgoreng,2024,10,34520.16624
kab_demak,beras,2024,10,1448711.943
kab_demak,jagung,2024,10,64542.29508
kab_demak,kedelai,2024,10,0
kab_demak,bawangmerah,2024,10,9690.625
kab_demak,bawangputih,2024,10,2095
kab_demak,cabaibesar,2024,10,14851.28571
kab_demak,cabairawit,2024,10,NULL
kab_demak,dagingsapi,2024,10,0
kab_demak,dagingayamras,2024,10,1819840
kab_demak,telur,2024,10,9765.432099
kab_demak,gulapasir,2024,10,9040.503145
kab_demak,minyakgoreng,2024,10,31418.3432
kab_grobogan,beras,2024,10,83663.93866
kab_grobogan,jagung,2024,10,74275
kab_grobogan,kedelai,2024,10,7443.103554
kab_grobogan,bawangmerah,2024,10,8438.450407
kab_grobogan,bawangputih,2024,10,2021.461538
kab_grobogan,cabaibesar,2024,10,1833.210714
kab_grobogan,cabairawit,2024,10,650.4472441
kab_grobogan,dagingsapi,2024,10,NULL
kab_grobogan,dagingayamras,2024,10,787.8
kab_grobogan,telur,2024,10,806.6932907
kab_grobogan,gulapasir,2024,10,27842.42472
kab_grobogan,minyakgoreng,2024,10,51444.21188
kab_jepara,beras,2024,10,129656.4534
kab_jepara,jagung,2024,10,25128.06211
kab_jepara,kedelai,2024,10,24370.33195
kab_jepara,bawangmerah,2024,10,12.3880597
kab_jepara,bawangputih,2024,10,12.20338983
kab_jepara,cabaibesar,2024,10,5.777777778
kab_jepara,cabairawit,2024,10,6.6
kab_jepara,dagingsapi,2024,10,339.7058824
kab_jepara,dagingayamras,2024,10,574.75
kab_jepara,telur,2024,10,4374.719101
kab_jepara,gulapasir,2024,10,8944.917127
kab_jepara,minyakgoreng,2024,10,9214.869231
kab_karanganyar,beras,2024,10,31943.13131
kab_karanganyar,jagung,2024,10,60010
kab_karanganyar,kedelai,2024,10,75010
kab_karanganyar,bawangmerah,2024,10,326.1744966
kab_karanganyar,bawangputih,2024,10,745.3125
kab_karanganyar,cabaibesar,2024,10,80
kab_karanganyar,cabairawit,2024,10,95
kab_karanganyar,dagingsapi,2024,10,50
kab_karanganyar,dagingayamras,2024,10,500
kab_karanganyar,telur,2024,10,26632.99401
kab_karanganyar,gulapasir,2024,10,1729.770115
kab_karanganyar,minyakgoreng,2024,10,525.1111111
kab_kebumen,beras,2024,10,61155.98496
kab_kebumen,jagung,2024,10,25550.8982
kab_kebumen,kedelai,2024,10,28214.84375
kab_kebumen,bawangmerah,2024,10,3449.333333
kab_kebumen,bawangputih,2024,10,2490.893617
kab_kebumen,cabaibesar,2024,10,203.65625
kab_kebumen,cabairawit,2024,10,466.6315789
kab_kebumen,dagingsapi,2024,10,72
kab_kebumen,dagingayamras,2024,10,255
kab_kebumen,telur,2024,10,5979.713514
kab_kebumen,gulapasir,2024,10,18932.75829
kab_kebumen,minyakgoreng,2024,10,95251.08163
kab_kendal,beras,2024,10,924775.5596
kab_kendal,jagung,2024,10,1300
kab_kendal,kedelai,2024,10,4063.2
kab_kendal,bawangmerah,2024,10,1140
kab_kendal,bawangputih,2024,10,487.5777778
kab_kendal,cabaibesar,2024,10,106.1666667
kab_kendal,cabairawit,2024,10,557.3815789
kab_kendal,dagingsapi,2024,10,240.5782313
kab_kendal,dagingayamras,2024,10,100.8333333
kab_kendal,telur,2024,10,9677.263581
kab_kendal,gulapasir,2024,10,617.5
kab_kendal,minyakgoreng,2024,10,1546.111111
kab_klaten,beras,2024,10,175616.5803
kab_klaten,jagung,2024,10,168136.3636
kab_klaten,kedelai,2024,10,69000
kab_klaten,bawangmerah,2024,10,29600
kab_klaten,bawangputih,2024,10,6000
kab_klaten,cabaibesar,2024,10,0
kab_klaten,cabairawit,2024,10,0
kab_klaten,dagingsapi,2024,10,69.45098039
kab_klaten,dagingayamras,2024,10,101.5384615
kab_klaten,telur,2024,10,176.9339623
kab_klaten,gulapasir,2024,10,170256.7568
kab_klaten,minyakgoreng,2024,10,286897.3314
kab_kudus,beras,2024,10,48068.55519
kab_kudus,jagung,2024,10,6000
kab_kudus,kedelai,2024,10,8013.333333
kab_kudus,bawangmerah,2024,10,3672
kab_kudus,bawangputih,2024,10,2206.153846
kab_kudus,cabaibesar,2024,10,6553.069257
kab_kudus,cabairawit,2024,10,6338.428184
kab_kudus,dagingsapi,2024,10,0
kab_kudus,dagingayamras,2024,10,1837.333333
kab_kudus,telur,2024,10,2326.071429
kab_kudus,gulapasir,2024,10,36000
kab_kudus,minyakgoreng,2024,10,25906.34921
kab_magelang,beras,2024,10,48068.55519
kab_magelang,jagung,2024,10,6000
kab_magelang,kedelai,2024,10,8013.333333
kab_magelang,bawangmerah,2024,10,3672
kab_magelang,bawangputih,2024,10,2206.153846
